,Items,Support,Confidence
0,"{'AMD', 'MODEM'}",0.0014178810555336746,1.0
1,"{'AMD', 'asus dsl-ac68u'}",0.0014178810555336746,1.0
2,"{'ARM', 'elko_prilepy mikrotik 6.43rc12'}",0.0031508467900748325,0.9836065573770492
3,"{'ASUS', 'asus 4g-ac55u'}",0.10321648943153472,0.7043540584124708
4,"{'ASUS', 'asus rt-ac3200'}",0.0018117369042930287,0.7752808988764044
5,"{'ASUS', 'asus rt-ac52u'}",0.003072075620322962,0.7005988023952097
6,"{'ASUS', 'asus rt-ac55uhp'}",0.0011815675462780622,0.6818181818181818
7,"{'ASUS', 'asus rt-ac56u'}",0.0052514113167913875,0.5167958656330749
8,"{'ASUS', 'asus rt-ac66r'}",0.0010240252067743206,0.6610169491525424
9,"{'ASUS', 'asus rt-ac68u'}",0.001654194564789287,0.9545454545454546
10,"{'ASUS', 'asus rt-ac87u'}",0.003413417355914402,0.6914893617021277
11,"{'ASUS', 'asus rt-ax88u'}",0.001234081659445976,0.6527777777777778
12,"{'ROUTER', 'BROADCOM'}",0.00223184980963634,0.5414012738853503
13,"{'PRINTER', 'BROTHER'}",0.0017329657345411579,0.9705882352941176
14,"{'asus dsl-ac68u', 'BROTHER'}",0.0014178810555336746,0.7941176470588235
15,"{'speedport 921v v1.45.000', 'CAM'}",0.0018905080740448995,0.9863013698630136
16,"{'speedport 921v v1.45.000', 'CAM'}",0.0018905080740448995,0.9
17,"{'CAMERA', 'CISCO'}",0.019010108966784824,0.5374907201187825
18,"{'GIGABYTE', 'CAMERA'}",0.003938558487593541,1.0
19,"{'CAMERA', 'HIKVISION'}",0.007955888144938953,0.8833819241982508
20,"{'CAMERA', 'ap8953 aos v5.1.4'}",0.019010108966784824,0.5374907201187825
21,"{'CCR12G', 'MIKROTIK'}",0.0023368780359721677,1.0
22,"{'CCR12G', 'mikrotik mikrotik'}",0.0018117369042930287,0.7752808988764044
23,"{'CISCO', 'CRS-1'}",0.0011027963765261914,1.0
24,"{'CISCO', 'DISKSTATION'}",0.019010108966784824,0.9986206896551724
25,"{'CISCO', 'GATEWAY'}",0.08746225548116056,0.7219332466406588
26,"{'PRINTER', 'CISCO'}",0.019666535381383746,0.531582682753726
27,"{'CISCO', 'SCANNER'}",0.019666535381383746,0.8194748358862144
28,"{'CISCO', 'SWITCH'}",0.08446895103058948,0.5191221558818783
29,"{'CISCO', 'ap8953 aos v5.1.4'}",0.37453065511356176,0.902213788741303
30,"{'CISCO', 'ap8953 aos v5.1.4'}",0.37453065511356176,0.7975844330127488
31,"{'SWITCH', 'CONEXANT'}",0.019010108966784824,0.9770580296896085
32,"{'ap8953 aos v5.1.4', 'CONEXANT'}",0.019010108966784824,0.9770580296896085
33,"{'ROUTER', 'CRS-1'}",0.0011027963765261914,1.0
34,"{'PRINTER', 'DASHBOARD'}",0.0015229092818695024,0.6823529411764705
35,"{'PRINTER', 'DELL'}",0.004778784298280163,0.8666666666666667
36,"{'et0021b76eed6e dell b5460dn printer nw2.ys.n231', 'DELL'}",0.005513981882630957,1.0
37,"{'et0021b76eed6e dell b5460dn printer nw2.ys.n231', 'DELL'}",0.005513981882630957,0.7720588235294118
38,"{'DISKSTATION', 'ap8953 aos v5.1.4'}",0.019010108966784824,0.9986206896551724
39,"{'SWITCHES', 'EATON'}",0.019010108966784824,1.0
40,"{'ap8953 aos v5.1.4', 'EATON'}",0.019010108966784824,1.0
41,"{'EMPLOYEES280', 'MIKROTIK'}",0.0011815675462780622,1.0
42,"{'ROUTER', 'EMPLOYEES280'}",0.0011815675462780622,1.0
43,"{'PRINTER', 'EPSON'}",0.001680451621373244,0.9411764705882353
44,"{'asus dsl-ac68u', 'EPSON'}",0.0014178810555336746,0.7941176470588235
