,Items,Support,Confidence,Ground Truth
0,"{'wifi betplay mikrotik', 'ABB'}",0.0040424891411860835,1.0,MikroTik | router | 
1,"{'AGOSTO', 'ljubomir dudic mikrotik'}",0.0010321248871113405,1.0,MikroTik | router | 
2,"{'ASUS', 'asus dsl-ac52u'}",0.0064937857480755175,0.616326530612245,DSL-AC52U | soho router | 
3,"{'asus dsl-ac56u', 'ASUS'}",0.0017632133488152066,0.6949152542372881,DSL-AC56U | soho router | 
4,"{'asus dsl-ac68u', 'ASUS'}",0.005418655657334537,0.5316455696202531,DSL-AC68U | soho router | 
5,"{'asus rt-ac3100', 'ASUS'}",0.0015481873306670106,0.9473684210526315,RT-AC3100 | soho router | 
6,"{'asus rt-ac3200', 'ASUS'}",0.008945082354964952,0.7027027027027027,RT-AC3200 | soho router | 
7,"{'asus rt-ac51u', 'ASUS'}",0.0021502601814819594,0.8333333333333334,RT-AC51U | soho router | 
8,"{'asus rt-ac52u', 'ASUS'}",0.00421450995570464,0.6666666666666666,RT-AC52U | soho router | 
9,"{'asus rt-ac5300', 'ASUS'}",0.0036124371048896916,0.7924528301886793,RT-AC5300 | soho router | 
10,"{'asus rt-ac55uhp', 'ASUS'}",0.004816582806519589,0.8484848484848485,RT-AC55UHP | soho router | 
11,"{'asus rt-ac56r', 'ASUS'}",0.007095858598890466,0.5830388692579506,RT-AC56R | soho router | 
12,"{'asus rt-ac56u', 'ASUS'}",0.012815550681632478,0.5265017667844523,RT-AC56U | soho router | 
13,"{'asus rt-ac58u', 'ASUS'}",0.004128499548445362,0.9411764705882353,RT-AC58U | soho router | 
14,"{'asus rt-ac66u', 'ASUS'}",0.005762697286371651,0.5,RT-AC66U | soho router | 
15,"{'ASUS', 'asus rt-ac66u_b1'}",0.0028813486431858255,0.5,RT-AC66U_B1 | soho router | 
16,"{'asus rt-ac68u', 'ASUS'}",0.013073581903410313,1.0,RT-AC68U | soho router | 
17,"{'ASUS', 'asus rt-ac68w'}",0.002752333032296908,1.0,RT-AC68W | soho router | 
18,"{'ASUS', 'asus rt-ac87u'}",0.004300520362963919,0.625,RT-AC87U | soho router | 
19,"{'ASUS', 'asus rt-ac88u'}",0.0017202081451855675,0.6060606060606061,RT-AC88U | soho router | 
20,"{'asus rt-acrh13', 'ASUS'}",0.007568915838816497,0.5222551928783383,RT-ACRH13 | soho router | 
21,"{'asus rt-ax88u', 'ASUS'}",0.0012901561088891757,0.6976744186046512,RT-AX88U | soho router | 
22,"{'ASUS', 'asus rt-n66r'}",0.0015911925342966498,0.74,RT-N66R | soho router | 
23,"{'asus rt-n66u', 'ASUS'}",0.0031823850685932997,1.0,RT-N66U | soho router | 
24,"{'asus rt-n66w', 'ASUS'}",0.0016772029415559283,1.0,RT-N66W | soho router | 
25,"{'asus tm-ac1900', 'ASUS'}",0.006063733711779125,0.8980891719745223,TM-AC1900 | soho router | 
26,"{'C-5S', 'mikrotik mikrotik'}",0.005590676471853094,0.962962962962963,"MikroTik,MikroTik | router,router | "
27,"{'axis camera', 'CAMERA'}",0.008687051133187115,0.7163120567375887,210 Network Camera | camera | 
28,"{'axis camera sep', 'CAMERA'}",0.004343525566593558,0.7163120567375887,211 Network Camera | camera | 
29,"{'axis m5013 ptz camera', 'CAMERA'}",0.005074614028297424,0.5042735042735044,M5013 PTZ Dome Network Camera | camera | 
30,"{'axis m5014-v ptz camera', 'CAMERA'}",0.005461660860964177,0.522633744855967,M5014-V PTZ Dome Network Camera | camera | 
31,"{'axis p5512-e ptz camera', 'CAMERA'}",0.005074614028297424,0.5042735042735044,"P5512-E PTZ Dome Network Camera,TM221CE40T | camera,programmable logic controller | "
32,"{'axis p5522-e ptz camera', 'CAMERA'}",0.005074614028297424,0.5042735042735044,P5522-E PTZ Dome Network Camera | camera | 
33,"{'axis p5534 ptz camera', 'CAMERA'}",0.005074614028297424,0.5042735042735044,P5534 PTZ Dome Network Camera | camera | 
34,"{'CAMERA', 'axis p5635-e mk ptz camera'}",0.005074614028297424,0.5042735042735044,P5635-E Mk II PTZ Dome Network Camera | camera | 
35,"{'axis ptz camera', 'CAMERA'}",0.005117619231927063,0.5063829787234042,212 PTZ Network Camera | camera | 
36,"{'axis ptz camera oct', 'CAMERA'}",0.005117619231927063,0.5063829787234042,214 PTZ Network Camera | camera | 
37,"{'CAMERA', 'axis q6044 ptz camera'}",0.005074614028297424,0.5042735042735044,Q6044 PTZ Dome Network Camera | camera | 
38,"{'CAMERA', 'axis q6044-e ptz camera'}",0.005074614028297424,0.5042735042735044,Q6044-E PTZ Dome Network Camera | camera | 
39,"{'axis q6045-e mk ptz camera', 'CAMERA'}",0.005074614028297424,0.5042735042735044,Q6045-E Mk II PTZ Dome Network Camera | camera | 
40,"{'axis q6115-e ptz camera', 'CAMERA'}",0.01057928009289124,0.5146443514644351,Q6115-E PTZ Dome Network Camera | camera | 
41,"{'CAMERA', 'ljubomir dudic mikrotik'}",0.006106738915408765,0.993006993006993,MikroTik | router | 
42,"{'CCR1016', 'mikrotik mikrotik'}",0.002795338235926547,0.8441558441558441,"MikroTik,MikroTik | router,router | "
43,"{'mikrotik mikrotik', 'CCR1016-12G'}",0.002795338235926547,0.8783783783783784,"MikroTik,MikroTik | router,router | "
44,"{'CCR1016-12S', 'mikrotik mikrotik'}",0.002795338235926547,0.9558823529411764,"MikroTik,MikroTik | router,router | "
45,"{'CCR1036', 'mikrotik mikrotik'}",0.002795338235926547,0.9285714285714285,"MikroTik,MikroTik | router,router | "
46,"{'CCR1036-12G', 'mikrotik mikrotik'}",0.002795338235926547,0.8227848101265822,"MikroTik,MikroTik | router,router | "
47,"{'CCR1036-8G', 'mikrotik mikrotik'}",0.002795338235926547,0.9154929577464788,"MikroTik,MikroTik | router,router | "
48,"{'mikrotik mikrotik', 'CCR1072-1G'}",0.002795338235926547,0.9701492537313432,"MikroTik,MikroTik | router,router | "
49,"{'CCR12G', 'mikrotik mikrotik'}",0.008386014707779641,0.8590308370044053,"MikroTik,MikroTik | router,router | "
50,"{'ap7901 aos v2.7.0', 'CISCO'}",0.0024082914032597944,0.6363636363636364,AP7901 | power distribution unit | 
51,"{'CRS-1', 'mikrotik mikrotik'}",0.002795338235926547,0.8904109589041096,"MikroTik,MikroTik | router,router | "
52,"{'CRS109-8G', 'mikrotik mikrotik'}",0.005590676471853094,0.87248322147651,"MikroTik,MikroTik | router,router | "
53,"{'CRS125-24G', 'mikrotik mikrotik'}",0.005590676471853094,0.9090909090909091,"MikroTik,MikroTik | router,router | "
54,"{'mikrotik mikrotik', 'CRS212-1G'}",0.005590676471853094,0.8227848101265822,"MikroTik,MikroTik | router,router | "
