,Items,Support,Confidence,Ground Truth
0,"{'IPTIME', '1.3.4d'}",0.004515546381112115,1.0,IPTime | printer | 
1,"{'IPTIME', '1.3.4d'}",0.004515546381112115,0.8898305084745762,IPTime | printer | 
2,"{'MIKROTIK', '42a'}",0.001376166516148454,0.6037735849056604,MikroTik | router | 
3,"{'ROUTER', '42a'}",0.0019782393669634025,0.8679245283018868,MikroTik | router | 
4,"{'betplay', 'ABB'}",0.0040424891411860835,1.0,MikroTik | router | 
5,"{'mikrotik', 'ABB'}",0.0040424891411860835,1.0,MikroTik | router | 
6,"{'wifi', 'ABB'}",0.0040424891411860835,1.0,MikroTik | router | 
7,"{'asus', 'AC1200'}",0.0028813486431858255,0.9852941176470588,RT-N66W | soho router | 
8,"{'asus', 'AC1750'}",0.0019352341633337635,1.0,RT-N66W | soho router | 
9,"{'asus', 'AC1900'}",0.0033114006794822174,1.0,RT-N66W | soho router | 
10,"{'asus', 'AC2300'}",0.0010321248871113405,1.0,RT-N66W | soho router | 
11,"{'asus', 'AC3100'}",0.0012901561088891757,1.0,RT-N66W | soho router | 
12,"{'AC3200', 'asus'}",0.0012041457016298972,1.0,RT-N66W | soho router | 
13,"{'AC66U', 'asus'}",0.0014191717197780931,1.0,RT-N66W | soho router | 
14,"{'asus', 'AC68U'}",0.0017632133488152066,1.0,RT-N66W | soho router | 
15,"{'axis', 'ADSL2'}",0.003913473530297166,0.858490566037736,P7224 Video Encoder Blade |  | 
16,"{'camera', 'ADSL2'}",0.003913473530297166,0.858490566037736,Q3505 Fixed Dome Network Camera | camera | 
17,"{'ptz', 'ADSL2'}",0.003913473530297166,0.858490566037736,P5635-E Mk II PTZ Dome Network Camera | camera | 
18,"{'AGOSTO', 'dudic'}",0.0010321248871113405,1.0,MikroTik | router | 
19,"{'AGOSTO', 'ljubomir'}",0.0010321248871113405,1.0,MikroTik | router | 
20,"{'AGOSTO', 'mikrotik'}",0.0010321248871113405,1.0,MikroTik | router | 
21,"{'ANTENNAL3-L2', 'axis'}",0.003913473530297166,1.0,P7224 Video Encoder Blade |  | 
22,"{'camera', 'ANTENNAL3-L2'}",0.003913473530297166,1.0,Q3505 Fixed Dome Network Camera | camera | 
23,"{'ptz', 'ANTENNAL3-L2'}",0.003913473530297166,1.0,P5635-E Mk II PTZ Dome Network Camera | camera | 
24,"{'ASUS', 'asus'}",0.1267363350965467,0.9829886591060708,RT-N66W | soho router | 
25,"{'ASUS', 'asus'}",0.1267363350965467,0.6489759964765471,RT-N66W | soho router | 
26,"{'ASUS', 'dsl-ac52u'}",0.0064937857480755175,0.616326530612245,DSL-AC52U | soho router | 
27,"{'ASUS', 'dsl-ac56u'}",0.0017632133488152066,0.6949152542372881,DSL-AC56U | soho router | 
28,"{'ASUS', 'dsl-ac68u'}",0.005418655657334537,0.5316455696202531,DSL-AC68U | soho router | 
29,"{'ASUS', 'rt-ac3100'}",0.0015481873306670106,0.9473684210526315,RT-AC3100 | soho router | 
30,"{'ASUS', 'rt-ac3200'}",0.008945082354964952,0.7027027027027027,RT-AC3200 | soho router | 
31,"{'ASUS', 'rt-ac51u'}",0.0021502601814819594,0.8333333333333334,RT-AC51U | soho router | 
32,"{'ASUS', 'rt-ac52u'}",0.00421450995570464,0.6666666666666666,RT-AC52U | soho router | 
33,"{'ASUS', 'rt-ac5300'}",0.0036124371048896916,0.7924528301886793,RT-AC5300 | soho router | 
34,"{'ASUS', 'rt-ac55uhp'}",0.004816582806519589,0.8484848484848485,RT-AC55UHP | soho router | 
35,"{'ASUS', 'rt-ac56r'}",0.007095858598890466,0.5830388692579506,RT-AC56R | soho router | 
36,"{'ASUS', 'rt-ac56u'}",0.012815550681632478,0.5265017667844523,RT-AC56U | soho router | 
37,"{'ASUS', 'rt-ac58u'}",0.004128499548445362,0.9411764705882353,RT-AC58U | soho router | 
38,"{'ASUS', 'rt-ac66u'}",0.005762697286371651,0.5,RT-AC66U | soho router | 
39,"{'ASUS', 'rt-ac66u_b1'}",0.0028813486431858255,0.5,RT-AC66U_B1 | soho router | 
