,Items,Support,Confidence
0,set([u'ROUTER']),0.6017601760176018,0.6017601760176018
1,set([u'posix upnp/1.0 broadcom upnp stack/estimation urn:schemas-wifialliance-org:service:wfawlanconfig:1 uuid:ad1e-d57f-b41330ec47e9::urn:schemas-wifialliance-org:service:wfawlanconfig:1']),0.6413641364136413,0.6413641364136413
2,"set([u'MODEM', u'AC1200'])",0.0033003300330033004,0.5
3,"set([u'ROUTER', u'AC1200'])",0.0033003300330033004,0.5
4,"set([u'TP-LINK', u'AC1200'])",0.006600660066006601,1.0
5,"set([u'tp-link router wr720n upnp/1.0 urn:schemas-upnp-org:service:wanipconnection:1 uuid:upnp-wanconnectiondevice-192168015678900001::urn:schemas-upnp-org:service:wanipconnection:1', u'AC1200'])",0.006600660066006601,1.0
6,"set([u'AC1350', u'MODEM'])",0.0022002200220022,0.5
7,"set([u'AC1350', u'ROUTER'])",0.0022002200220022,0.5
8,"set([u'AC1350', u'TP-LINK'])",0.0044004400440044,1.0
9,"set([u'AC1350', u'tp-link router wr720n upnp/1.0 urn:schemas-upnp-org:service:wanipconnection:1 uuid:upnp-wanconnectiondevice-192168015678900001::urn:schemas-upnp-org:service:wanipconnection:1'])",0.0044004400440044,1.0
10,"set([u'MODEM', u'AC1750'])",0.0033003300330033004,0.5
11,"set([u'ROUTER', u'AC1750'])",0.0033003300330033004,0.5
12,"set([u'TP-LINK', u'AC1750'])",0.006600660066006601,1.0
13,"set([u'AC1750', u'tp-link router wr720n upnp/1.0 urn:schemas-upnp-org:service:wanipconnection:1 uuid:upnp-wanconnectiondevice-192168015678900001::urn:schemas-upnp-org:service:wanipconnection:1'])",0.006600660066006601,1.0
14,"set([u'MODEM', u'AC1900'])",0.0022002200220022,0.5
15,"set([u'ROUTER', u'AC1900'])",0.0022002200220022,0.5
16,"set([u'TP-LINK', u'AC1900'])",0.0044004400440044,1.0
17,"set([u'AC1900', u'tp-link router wr720n upnp/1.0 urn:schemas-upnp-org:service:wanipconnection:1 uuid:upnp-wanconnectiondevice-192168015678900001::urn:schemas-upnp-org:service:wanipconnection:1'])",0.0044004400440044,1.0
18,"set([u'ROUTER', u'AC2300'])",0.005500550055005501,1.0
19,"set([u'AC2300', u'tp-link router wr720n upnp/1.0 urn:schemas-upnp-org:service:wanipconnection:1 uuid:upnp-wanconnectiondevice-192168015678900001::urn:schemas-upnp-org:service:wanipconnection:1'])",0.005500550055005501,1.0
20,"set([u'ASUS', u'AC2400'])",0.0011001100110011,1.0
21,"set([u'ROUTER', u'AC2400'])",0.0011001100110011,1.0
22,"set([u'AC2400', u'tp-link router wr720n upnp/1.0 urn:schemas-upnp-org:service:wanipconnection:1 uuid:upnp-wanconnectiondevice-192168015678900001::urn:schemas-upnp-org:service:wanipconnection:1'])",0.0011001100110011,1.0
23,"set([u'MODEM', u'AC2600'])",0.0011001100110011,0.5
24,"set([u'ROUTER', u'AC2600'])",0.0011001100110011,0.5
25,"set([u'TP-LINK', u'AC2600'])",0.0022002200220022,1.0
